tau,Re_zeta,Re_zeta_st
194.1849609,0.3092387644,3.766929470
194.5944703,0.1907572236,2.568654720
195.0041615,-0.2996891031,1.388434487
195.4140343,-0.8913562205,0.8180456609
195.8240883,-1.067940501,1.396809067
196.2343234,-0.3739839332,3.330274364
196.6447393,1.261244032,6.306001783
197.0553357,3.391176421,9.527173259
197.4661123,5.216076063,11.99092999
197.8770690,5.972373737,12.90667828
198.2882053,5.333426235,12.05139243
198.6995211,3.590388267,9.867219197
199.1110161,1.504125154,7.237088594
199.5226901,-0.09045543210,5.055227352
199.9345427,-0.7025967983,3.825041833
200.3465738,-0.3918921194,3.492139457
200.7587831,0.3419788096,3.577607474
201.1711702,0.9012957534,3.511295457
201.5837351,0.9472794479,2.971070824
201.9964773,0.5592814265,2.049873342
202.4093968,0.1172919126,1.175900402
202.8224931,0.005172470705,0.8461218307
203.2357661,0.3389397507,1.332953620
203.6492155,0.8966964637,2.533515693
204.0628410,1.286484489,4.038818592
204.4766425,1.229277663,5.360355194
204.8906196,0.7606441182,6.159097559
205.3047721,0.2130238742,6.342315220
205.7190998,-0.009425537755,6.004834346
206.1336024,0.2895749392,5.300743398
206.5482797,0.9552924012,4.357348330
